split_index,outer_seed,architecture,n_base_models,MAE,RMSE,R2,Pearson_r,Spearman_r,training_time,prediction_time
4,41,RF + ET + XGBoost,3,0.11340403239641493,0.18091859593379545,0.8641518333465653,0.9306130881523679,0.9344305960212675,452.44074535369873,0.0010004043579101562
4,41,RF + ET + DNN,3,0.11697441623061035,0.1909654133993729,0.848644990667111,0.9220842998252718,0.9244421290598903,456.28782320022583,0.0010001659393310547
4,41,RF + XGBoost + DNN,3,0.11458287421015849,0.18303423267218058,0.8609560777105012,0.9288997320922526,0.9327157415522526,241.31097602844238,0.0009999275207519531
4,41,ET + XGBoost + DNN,3,0.11576019379664514,0.18169363003147093,0.8629854250044011,0.9300343005196918,0.9323131306767571,314.30888986587524,0.0009992122650146484
4,41,RF + ET + XGBoost + DNN,4,0.11403197334440916,0.18265541179474937,0.8615310328128274,0.9291960345252184,0.932955449453006,488.11547803878784,0.0010001659393310547
5,55,RF,1,0.12753082510412161,0.2160597045174459,0.7994222719877171,0.894370933819638,0.889380771646595,167.28878617286682,0.0
5,55,ET,1,0.1254528258526094,0.2100680765932318,0.8103926056502264,0.9009027676166002,0.900701207108318,235.29448056221008,0.0
5,55,XGBoost,1,0.13465881111814382,0.2078479160556486,0.8143792594374462,0.9033319273618947,0.901872263824137,29.655615091323853,0.0
5,55,DNN,1,0.48873457039891516,0.7018245198101435,-1.1163730687366393,0.5651718093983362,0.5944149152433098,31.52105402946472,0.0
5,55,RF + ET,2,0.12530012720875705,0.20932507897110744,0.8117314926183795,0.9013358621814835,0.9008638367559214,402.5842664241791,0.0009996891021728516
5,55,RF + XGBoost,2,0.12642110689575276,0.20326122121402498,0.8224812573779349,0.9070852528427906,0.9092250381906397,196.94440126419067,0.0
5,55,RF + DNN,2,0.1314143237461895,0.21724270149700503,0.7972198025617756,0.8932547213829529,0.8872395721938371,198.80984020233154,0.0010008811950683594
5,55,ET + XGBoost,2,0.12649211709982797,0.20465831469108597,0.8200325599681236,0.9057567797931537,0.9073468831618131,264.95109581947327,0.0010001659393310547
5,55,ET + DNN,2,0.12606395614109597,0.20988773606499275,0.8107180165428864,0.9007383701341847,0.9004710656574236,266.8155345916748,0.0009999275207519531
5,55,XGBoost + DNN,2,0.1342664611285495,0.2070292394380467,0.8158386349689375,0.9032883303044092,0.9017898691022749,61.176669120788574,0.0010001659393310547
5,55,RF + ET + XGBoost,3,0.1257344723905416,0.20348887824244183,0.82208338491477,0.9068976337664763,0.9100145560367869,432.2398817539215,0.0009999275207519531
5,55,RF + ET + DNN,3,0.12595490177146473,0.20950588797531566,0.8114061102688201,0.9011460466158581,0.9005776632415673,434.1043207645416,0.0
5,55,RF + XGBoost + DNN,3,0.1259515890422326,0.2030752358943953,0.8228059703263154,0.907262380149896,0.9095020676514819,228.46645760536194,0.0010023117065429688
5,55,ET + XGBoost + DNN,3,0.12595563104589536,0.20446361056956475,0.8203748254100625,0.905949347021832,0.9077218879962868,296.47114968299866,0.0014758110046386719
5,55,RF + ET + XGBoost + DNN,4,0.12517187451140285,0.20327690117915065,0.8224538680408182,0.9071025867253877,0.9094916812202065,463.7599358558655,0.0015022754669189453
6,73,RF,1,0.12527167220209862,0.20551542557075794,0.8207891825859999,0.9075988802868824,0.917034815595755,181.7596890926361,0.0
6,73,ET,1,0.12379870385567661,0.19774043908136196,0.8340923699112882,0.9160323291113828,0.9219891653136976,261.4540026187897,0.0
6,73,XGBoost,1,0.13996590792875788,0.2011870010198663,0.8282585184230136,0.9128992132985335,0.9125674315134523,34.067933559417725,0.0
6,73,DNN,1,0.4563923128436567,0.6395385112167723,-0.7354366884865604,0.5095121171094341,0.5336881119110484,40.33020377159119,0.0
6,73,RF + ET,2,0.1220791150664843,0.19501336803426858,0.838636933948428,0.9158744066167737,0.9231529921117798,443.2136917114258,0.0010001659393310547
6,73,RF + XGBoost,2,0.12550917521485283,0.18981332381698862,0.8471277140858771,0.9206073762166298,0.9247594618680712,215.82862257957458,0.0009999275207519531
6,73,RF + DNN,2,0.13049851346029823,0.20988826447765377,0.8130817594935095,0.9019830352173778,0.9087601336022872,222.0898928642273,0.0
6,73,ET + XGBoost,2,0.12549400899121632,0.19079833009421932,0.8455369841603787,0.9197329035063507,0.9235416632500778,295.5219361782074,0.0
6,73,ET + DNN,2,0.12597813001027583,0.1984022994205661,0.8329798867955225,0.9128973978656756,0.916681153003045,301.7852063179016,0.0009999275207519531
6,73,XGBoost + DNN,2,0.1414244724179963,0.20291793233617195,0.8252906177720343,0.9087885124917434,0.9051877483860035,74.39813733100891,0.0010008811950683594
6,73,RF + ET + XGBoost,3,0.12430327664699854,0.1897871263570085,0.8471699091135186,0.9205938569811871,0.9250110697476097,477.2816252708435,0.0009996891021728516
6,73,RF + ET + DNN,3,0.1250763178012466,0.1985942439131125,0.8326565629376357,0.9126952771010497,0.9178843389037397,483.5448954105377,0.0009999275207519531
6,73,RF + XGBoost + DNN,3,0.12857058833969193,0.1933343696540149,0.8414035343015444,0.9175229310643347,0.9203754421065865,256.1588273048401,0.0010008811950683594
6,73,ET + XGBoost + DNN,3,0.12787717287447212,0.1938902736814677,0.8404901823097144,0.9170258928817467,0.919791615417835,335.8531403541565,0.0010004043579101562
6,73,RF + ET + XGBoost + DNN,4,0.12698165703546524,0.1929388559607167,0.8420517678470234,0.9178496008445747,0.9213681661391454,517.6128289699554,0.0009999275207519531
7,89,RF,1,0.12034989351627,0.19092393471051572,0.8429982595654818,0.9182463436166238,0.9058500922821343,195.29267930984497,0.0
7,89,ET,1,0.11308511156180241,0.1798215585281961,0.8607269041505468,0.9284936808045066,0.9161762949353637,276.7403881549835,0.0
7,89,XGBoost,1,0.12322996130995233,0.18105317494751452,0.8588125791953128,0.9274765137675045,0.9094620128524245,37.16605615615845,0.0
7,89,DNN,1,0.4729574526480038,0.6569828115663803,-0.8590528207950676,0.5790916929015018,0.5881115251410657,41.81392002105713,0.0
7,89,RF + ET,2,0.11434750349732,0.18070766167032534,0.8593509357496907,0.9276809024360788,0.9145508182186024,472.03406739234924,0.0009999275207519531
7,89,RF + XGBoost,2,0.11555025072487791,0.17377914704258499,0.8699294318806572,0.9332477048589156,0.9200228282857891,232.45873546600342,0.0009999275207519531
7,89,RF + DNN,2,0.12408039780984309,0.19481706872483073,0.8365301275649188,0.9159551444050933,0.903033904322949,237.1075987815857,0.00099945068359375
7,89,ET + XGBoost,2,0.11467110023584903,0.17387075143485997,0.8697922672560048,0.933000265157659,0.9190186242404922,313.90644431114197,0.0
7,89,ET + DNN,2,0.11453665485805772,0.18076071412111328,0.8592683396626078,0.9274834171142698,0.9148686977245034,318.55430817604065,0.0009999275207519531
7,89,XGBoost + DNN,2,0.12417160632201057,0.18134989992600029,0.8583494206347373,0.9267606596794756,0.9086198918226042,78.97997617721558,0.0
7,89,RF + ET + XGBoost,3,0.11447485848527231,0.1735715537667037,0.8702400059384349,0.9334033499976331,0.9198416123679798,509.19912362098694,0.0010004043579101562
7,89,RF + ET + DNN,3,0.1152096822490188,0.18197731663696623,0.8573675874013302,0.9266799036372214,0.9123289416034095,513.8469874858856,0.0
7,89,RF + XGBoost + DNN,3,0.11572545898858516,0.17408544113668195,0.8694705165581774,0.9330144371527993,0.91960600434211,274.27265548706055,0.0
7,89,ET + XGBoost + DNN,3,0.11478073791331497,0.17417013815024562,0.8693434738056239,0.9327701916917004,0.9185413949908765,355.7203643321991,0.0010001659393310547
7,89,RF + ET + XGBoost + DNN,4,0.11459246551395356,0.17379621165551998,0.8699038855142913,0.9332324646020644,0.9196787093709746,551.0140445232391,0.0010008811950683594
8,101,RF,1,0.1093412660664395,0.17641723565207976,0.8585620269949313,0.9269532064731261,0.9154304081866933,171.5603084564209,0.0
8,101,ET,1,0.10492111336965544,0.16898475825793532,0.8702285766983744,0.9333598066994119,0.9260907117984377,238.99205207824707,0.0
8,101,XGBoost,1,0.12077705261606561,0.17679825042001907,0.8579504297173786,0.9272962013167776,0.9246289584597471,29.82003402709961,0.0
8,101,DNN,1,0.43412332799320047,0.5932163505079179,-0.5992274065934673,0.5670486237832436,0.5593108877117601,33.49300193786621,0.0
8,101,RF + ET,2,0.10462323939857528,0.16875971562675665,0.87057398840076,0.9335265459066742,0.9263257731057064,410.55236053466797,0.0
8,101,RF + XGBoost,2,0.10665386129262379,0.16716604387149162,0.8730068991754277,0.9346430371998805,0.9303857738710224,201.3803424835205,0.0015003681182861328
8,101,RF + DNN,2,0.11237753220190853,0.17760343761338235,0.8566536188571532,0.9256512496770264,0.9141971563048363,205.05431008338928,0.0009996891021728516
8,101,ET + XGBoost,2,0.10815149373440318,0.16782590474585798,0.8720023510545162,0.9342282258831938,0.9307509388785936,268.8120861053467,0.0
8,101,ET + DNN,2,0.10554987712877639,0.16939000489702788,0.8696054140923093,0.9329664320574143,0.9258993828274048,272.4860544204712,0.0010004043579101562
8,101,XGBoost + DNN,2,0.11839349845517828,0.17586678788694504,0.85944326467612,0.9273604598053415,0.9252696371856054,63.31303596496582,0.0
8,101,RF + ET + XGBoost,3,0.10609316517002285,0.1667147183605104,0.8736917015808661,0.9350677561572549,0.9304541056463913,440.37339520454407,0.0010006427764892578
8,101,RF + ET + DNN,3,0.10496923094566912,0.1691936186729225,0.8699075907873934,0.9331084303390926,0.9261185911627882,444.0453624725342,0.0
8,101,RF + XGBoost + DNN,3,0.10659863042127127,0.16723911188391186,0.8728958579471897,0.934561810085742,0.9303360283385539,234.87434363365173,0.0009992122650146484
8,101,ET + XGBoost + DNN,3,0.10820859097791882,0.16786653000678092,0.8719403753152788,0.934163941043124,0.9307935779064238,302.3050880432129,0.0
8,101,RF + ET + XGBoost + DNN,4,0.106199328156874,0.1667792672973294,0.8735938740487225,0.9349912488628742,0.9305268106553838,473.8663959503174,0.00099945068359375
9,131,RF,1,0.12296556148713117,0.19558181922297732,0.8311173248952307,0.9126883683326602,0.8985365512333136,143.9391074180603,0.0
9,131,ET,1,0.11304196441501294,0.1746699872571527,0.8653008938399432,0.9323499309599553,0.9210465644341664,201.84190440177917,0.0
9,131,XGBoost,1,0.1274769240075045,0.18010755456625602,0.8567838496041884,0.927511904996521,0.9177585634794684,25.645260095596313,0.0
9,131,DNN,1,0.4906591236429854,0.7353286952021689,-1.38721296691428,0.5343260266706646,0.5690538655506648,36.64433240890503,0.0
9,131,RF + ET,2,0.11205263935134724,0.1761436191488379,0.863018484279942,0.9292748738583301,0.9179232543650787,345.7820122241974,0.0010004043579101562
9,131,RF + XGBoost,2,0.11476684283646489,0.17468264186978252,0.865281375584019,0.9305604654565454,0.9192607700503649,169.58536982536316,0.0010023117065429688
9,131,RF + DNN,2,0.12004775805636306,0.19150054093090033,0.8380920601326112,0.9158549571334963,0.9021345078751112,180.58343982696533,0.0
9,131,ET + XGBoost,2,0.11190334960647545,0.1687771859770509,0.8742362090731232,0.935282973734541,0.9256122222090892,227.4871644973755,0.0010008811950683594
9,131,ET + DNN,2,0.11058386446809379,0.17154801982085163,0.8700729567207477,0.9330325296873883,0.9223891477070605,238.4872362613678,0.00099945068359375
9,131,XGBoost + DNN,2,0.12514695263473966,0.17801811333806591,0.860087497438855,0.9277216766112741,0.9182425005504898,62.28959250450134,0.0009996891021728516
9,131,RF + ET + XGBoost,3,0.11345815107990945,0.17331514764006023,0.8673823952836553,0.9316722783782045,0.9207715972573483,371.42727184295654,0.0009999275207519531
9,131,RF + ET + DNN,3,0.11141797208157234,0.17519227198419374,0.8644941557563721,0.9300647508433268,0.9189725575378475,382.4253442287445,0.0010001659393310547
